primary_name,match_type,alternative_match
AGL,direct,
AMY2A,direct,
AMY2B,direct,
CHI3L1,direct,
CHI3L2,direct,
CHIA,direct,
CHID1,direct,
CHIT1,direct,
CTBS,direct,
EDEM1,direct,
EDEM2,direct,
EDEM3,direct,
ENGASE,direct,
FUCA1,direct,
FUCA2,direct,
GAA,direct,
GALC,direct,
GANAB,direct,
GANC,direct,
GBA3,direct,
GBE1,direct,
GLA,direct,
GLB1,direct,
GLB1L,direct,
GLB1L2,direct,
GLB1L3,direct,
GUSB,direct,
HEXA,direct,
HEXB,direct,
HEXD,direct,
HPSE,direct,
HPSE2,direct,
HYAL1,direct,
HYAL2,direct,
HYAL3,direct,
HYAL4,direct,
IDUA,direct,
KL,direct,
KLB,direct,
LCT,direct,
LCTL,direct,
LYG1,direct,
LYG2,direct,
LYZ,direct,
LYZL4,direct,
LYZL6,direct,
MAN1A1,direct,
MAN1A2,direct,
MAN1B1,direct,
MAN1C1,direct,
MAN2A1,direct,
MAN2A2,direct,
MAN2B1,direct,
MAN2B2,direct,
MAN2C1,direct,
MANBA,direct,
MANEA,direct,
MANEAL,direct,
MGAM,direct,
MOGS,direct,
MYORG,direct,
NAGA,direct,
NAGLU,direct,
NEU1,direct,
NEU2,direct,
NEU3,direct,
NEU4,direct,
OGA,direct,
OVGP1,direct,
PGGHG,direct,
SI,direct,
SLC3A2,direct,
SPAM1,direct,
TREH,direct,
GBA,alternative,GBA1
HYAL3,alternative,SPAM1
